台積電,3193
台股,1662
2330,1462
市場,1421
表示,1388
半導體,1322
指數,1317
美國,1231
AI,1143
10,1140
台北,1090
股價,1076
上漲,1069
美元,1057
持續,1007
記者,1004
報導,1000
指出,999
預期,924
公司,913
今年,912
目前,892
表現,880
台灣,878
美股,864
晶片,836
投資,822
下跌,811
ADR,810
漲幅,791
需求,762
製程,750
新高,748
新台幣,748
鴻海,726
產業,725
營收,722
今天,721
全球,720
以及,717
法人,716
影響,716
相關,703
主要,703
可能,689
聯發科,686
外資,684
其中,683
不過,680
2024年,679
先進,678
晶圓,670
包括,668
大漲,666
中央社,661
超過,653
技術,646
帶動,644
震盪,639
電子,622
奈米,611
成長,602
早盤,596
20,595
輝達,594
認為,592
未來,589
終場,588
族群,587
去年,585
加上,574
公布,551
客戶,551
其他,549
2023年,545
方面,543
加權,538
今日,531
代工,522
時報,517
由於,516
來到,509
科技,506
維持,499
歷史,492
增加,487
投資人,486
開盤,485
股市,478
收在,477
權值股,475
部分,473
資金,472
預計,470
15,468
關注,467
跌幅,464
營運,463
大盤,456
預估,454
