台積電,4181
台股,2328
2330,1934
指數,1833
市場,1827
表示,1806
半導體,1688
美國,1645
AI,1590
股價,1565
台北,1510
上漲,1480
10,1436
持續,1335
美元,1323
記者,1320
指出,1277
美股,1276
表現,1220
預期,1199
報導,1199
公司,1180
今年,1160
目前,1120
下跌,1114
ADR,1087
漲幅,1037
新高,1024
新台幣,1022
今天,1016
台灣,1013
投資,1007
晶片,989
法人,987
外資,979
鴻海,979
其中,975
產業,971
需求,964
聯發科,946
營收,942
2024年,934
大漲,933
影響,931
超過,919
帶動,919
全球,899
可能,896
不過,891
中央社,884
輝達,852
早盤,851
電子,848
成長,848
相關,844
主要,842
製程,833
以及,827
未來,824
晶圓,816
族群,811
震盪,801
終場,801
公布,787
加上,769
技術,765
先進,763
包括,760
認為,745
去年,731
股市,728
其他,719
時報,717
加權,715
今日,715
方面,714
2023年,693
來到,689
奈米,689
開盤,688
收在,683
歷史,682
客戶,674
大盤,661
20,658
科技,656
跌幅,652
權值股,641
代工,639
部分,631
編輯,621
增加,619
資金,617
投資人,615
500,609
12,608
維持,607
觀察,606
由於,601
成為,594
